label,raw_count,weighted_count,weighted_frequency,top_buckets,representative_papers
Triton X-100,33,8.5,0.2099,0000 (12); 0100 (6); 1100 (5),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies; Improved two-stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease; Improved two stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease; Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy; Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis
Tween 20,19,8.25,0.2037,1101 (7); 0100 (6); 0000 (3),High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection; Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli; Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy; Development of nucleic acid extraction-free one-step real-time RT-PCR for diagnosis of SARS-CoV-2 infection; Purification and Functional Characterization of the ϕX174 Lysis Protein E
SDS,20,2.75,0.0679,0000 (13); 0100 (2); 0001 (1),A simplified method for the extraction of baculoviral DNA for PCR analysis: A practical application; Enterobacter sakazakii bacteriophages can prevent bacterial growth in reconstituted infant formula; Role of DLP12 lysis genes in Escherichia coli biofilm formation; Ingestion without Inactivation of Bacteriophages by Tetrahymena; Expression and purification of a functional human hepatitis B virus polymerase
other:unspecified_detergent,8,2.75,0.0679,0001 (2); 1100 (2); 0000 (1),Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR; High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection; Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli; Delta-24-RGD Induces Cytotoxicity of Glioblastoma Spheroids in Three Dimensional PEG Microwells; Ingestion without Inactivation of Bacteriophages by Tetrahymena
IGEPAL CA-630,4,2.5,0.0617,1101 (3); 0001 (1),Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR; An in-well direct lysis method for rapid detection of SARS-CoV-2 by real time RT-PCR in eSwab specimens; Direct RT‑PCR amplification of SARS‑CoV‑2 from clinical samples using a concentrated viral lysis‑amplification buffer prepared with IGEPAL‑630
NP-40,9,2.0,0.0494,0000 (3); 1100 (2); 0001 (1),Evaluation of viral clearance in the production of HPV-16 L1 virus-like particles purified from insect cell cultures; Expression and purification of a functional human hepatitis B virus polymerase; Influenza A Infection of Primary Human Airway Epithelial Cells Up-Regulates Proteins Related to Purine Metabolism and Ubiquitin-Related Signaling; Identification of Protein Interacting Partners Using Tandem Affinity Purification; Purification and Functional Characterization of the ϕX174 Lysis Protein E
CHAPS,4,1.25,0.0309,1100 (2); 0000 (1); 0100 (1),Maturation of the Gag core decreases the stability of retroviral lipid membranes; Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli
Tween 80,4,1.25,0.0309,0100 (3); 1100 (1),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy; Maturation of the Gag core decreases the stability of retroviral lipid membranes
N-lauroylsarcosine (Sarkosyl),4,1.0,0.0247,1000 (2); 0000 (1); 1001 (1),Evaluation of recombinant baculovirus clearance during rAAV production in Sf9 cells using a newly developed fluorescent-TCID50 assay; Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli
deoxycholate,4,1.0,0.0247,0000 (2); 0001 (1); 1101 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies; Inactivation of Coronaviruses during Sample Preparation for Proteomics Experiments; Influenza A Infection of Primary Human Airway Epithelial Cells Up-Regulates Proteins Related to Purine Metabolism and Ubiquitin-Related Signaling; Oxidative stress transforms 3CLpro into an insoluble and more active form to promote SARS-CoV-2 replication
other:Empigen BB,4,1.0,0.0247,0100 (3); 1000 (1),Purification and Functional Characterization of the ϕX174 Lysis Protein E; Maturation of the Gag core decreases the stability of retroviral lipid membranes; The holin of bacteriophage lambda forms rings with large diameter
other:Empigen,3,1.0,0.0247,0100 (2); 1100 (1),Maturation of the Gag core decreases the stability of retroviral lipid membranes
other:N-lauroylsarcosine,2,1.0,0.0247,1010 (1); 1100 (1),Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli
saponin,3,0.75,0.0185,0000 (1); 0100 (1); 1100 (1),Purification and Functional Characterization of the ϕX174 Lysis Protein E; Maturation of the Gag core decreases the stability of retroviral lipid membranes
other:hexadecyltrimethylammonium chloride (Hexa-DTMC),1,0.75,0.0185,1101 (1),Efficacy Validation of SARS-CoV-2-Inactivation and Viral Genome Stability in Saliva by a Guanidine Hydrochloride and Surfactant-Based Virus Lysis/Transport Buffer
other:Polysorbate 20,3,0.5,0.0123,0001 (2); 0000 (1),Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents; Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis
other:Triton CG-110,2,0.5,0.0123,0100 (2),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy
other:n-octyl-β-D-glucopyranoside,2,0.5,0.0123,0000 (1); 1100 (1),Endoplasmic Reticulum Detergent-Resistant Membranes Accommodate Hepatitis C Virus Proteins for Viral Assembly
other:hexadecyltrimethylammonium chloride,1,0.5,0.0123,0101 (1),Efficacy Validation of SARS-CoV-2-Inactivation and Viral Genome Stability in Saliva by a Guanidine Hydrochloride and Surfactant-Based Virus Lysis/Transport Buffer
other:DDM,5,0.25,0.0062,0000 (4); 1000 (1),Purification and Functional Characterization of the ϕX174 Lysis Protein E; The holin of bacteriophage lambda forms rings with large diameter
other:n-octyl-β-D-glucopyranoside (OG),2,0.25,0.0062,0000 (1); 0100 (1),Lipidomic study of intracellular Singapore grouper iridovirus (SGIV) and grouper embryonic cells (GECs); The holin of bacteriophage lambda forms rings with large diameter
other:Lubrol,1,0.25,0.0062,0100 (1),Maturation of the Gag core decreases the stability of retroviral lipid membranes
other:lauryldimethylamine-oxide (LDAO),1,0.25,0.0062,0100 (1),The holin of bacteriophage lambda forms rings with large diameter
other:n-Dodecyl-β-D-maltoside,1,0.25,0.0062,0100 (1),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy
other:n-Dodecyl-β-D-maltoside (DDM),1,0.25,0.0062,0100 (1),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy
other:n-dodecyl-β-D-maltopyranoside (DDM),1,0.25,0.0062,0100 (1),The holin of bacteriophage lambda forms rings with large diameter
other:n-dodecyl-β-D-maltoside,1,0.25,0.0062,1000 (1),Purification and Functional Characterization of the ϕX174 Lysis Protein E
CTAB,4,0.0,0.0,0000 (4),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies; Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids
Poloxamer 188,1,0.0,0.0,0000 (1),Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents
other:DHPC,1,0.0,0.0,0000 (1),Purification and Functional Characterization of the ϕX174 Lysis Protein E
other:Deviron 13S9,1,0.0,0.0,0000 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies
other:Deviron C16,1,0.0,0.0,0000 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies
other:EBB,1,0.0,0.0,0000 (1),Purification and Functional Characterization of the ϕX174 Lysis Protein E
other:LDAO,1,0.0,0.0,0000 (1),The holin of bacteriophage lambda forms rings with large diameter
other:TDA-9,1,0.0,0.0,0000 (1),Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents
other:cholic acid,1,0.0,0.0,0000 (1),Purification and Functional Characterization of the ϕX174 Lysis Protein E
other:n-dodecyl-α-D-maltoside (DDM),1,0.0,0.0,0000 (1),Lipidomic study of intracellular Singapore grouper iridovirus (SGIV) and grouper embryonic cells (GECs)
other:sodium N-lauroylsarcosine,1,0.0,0.0,0000 (1),"Isolation and Characterization of ϕkm18p, a Novel Lytic Phage with Therapeutic Potential against Extensively Drug Resistant Acinetobacter baumannii"
other:sodium deoxycholate,1,0.0,0.0,0000 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies
