label,raw_count,weighted_count,weighted_frequency,top_buckets,representative_papers
Triton X-100,56,34.0,0.2437,1101 (14); 1011 (11); 1001 (9),High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection; Purification of DNA from the cell-associated herpesvirus Marek’s disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation; Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis; Improved two-stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease; Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents
Tween 20,22,14.25,0.1022,1101 (7); 0101 (5); 0111 (3),"High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection; Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy; Analysis of Inactivation of SARS-CoV-2 by Specimen Transport Media, Nucleic Acid Extraction Reagents, Detergents, and Fixatives; Development of nucleic acid extraction-free one-step real-time RT-PCR for diagnosis of SARS-CoV-2 infection; Direct lysis RT-qPCR of SARS-CoV-2 in cell culture supernatant allows for fast and accurate quantification"
SDS,24,12.5,0.0896,1001 (6); 1101 (6); 0001 (3),A simplified method for the extraction of baculoviral DNA for PCR analysis: A practical application; Purification of DNA from the cell-associated herpesvirus Marek’s disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation; Role of DLP12 lysis genes in Escherichia coli biofilm formation; Enterobacter sakazakii bacteriophages can prevent bacterial growth in reconstituted infant formula; Ingestion without Inactivation of Bacteriophages by Tetrahymena
IGEPAL CA-630,9,7.0,0.0502,1101 (4); 0111 (2); 1111 (2),An in-well direct lysis method for rapid detection of SARS-CoV-2 by real time RT-PCR in eSwab specimens; Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR; Direct lysis RT-qPCR of SARS-CoV-2 in cell culture supernatant allows for fast and accurate quantification; Direct RT-PCR amplification of SARS-CoV-2 from clinical samples using a concentrated viral lysis-amplification buffer prepared with IGEPAL-630
NP-40,12,6.5,0.0466,0001 (3); 1100 (3); 1101 (3),"Evaluation of viral clearance in the production of HPV-16 L1 virus-like particles purified from insect cell cultures; Influenza A Infection of Primary Human Airway Epithelial Cells Up-Regulates Proteins Related to Purine Metabolism and Ubiquitin-Related Signaling; Identification of Protein Interacting Partners Using Tandem Affinity Purification; Analysis of Inactivation of SARS-CoV-2 by Specimen Transport Media, Nucleic Acid Extraction Reagents, Detergents, and Fixatives; Maturation of the Gag core decreases the stability of retroviral lipid membranes"
other:Triton CG-110,6,4.5,0.0323,1101 (4); 1110 (2),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy
other:Empigen BB,7,4.0,0.0287,0101 (2); 0001 (1); 0111 (1),Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli; Maturation of the Gag core decreases the stability of retroviral lipid membranes; The holin of bacteriophage lambda forms rings with large diameter; Purification and Functional Characterization of the φX174 Lysis Protein E
CHAPS,5,3.25,0.0233,1100 (2); 0111 (1); 1011 (1),Maturation of the Gag core decreases the stability of retroviral lipid membranes; Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli
saponin,5,3.25,0.0233,0110 (1); 0111 (1); 1011 (1),"Maturation of the Gag core decreases the stability of retroviral lipid membranes; Anti-Trichomonas vaginalis activity of saponins from Quillaja, Passiflora, and Ilex species; Purification and Functional Characterization of the φX174 Lysis Protein E"
other:Polysorbate 20,4,3.0,0.0215,1011 (1); 1100 (1); 1101 (1),Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis; Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents
Tween 80,4,2.75,0.0197,0111 (1); 1100 (1); 1101 (1),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy; Maturation of the Gag core decreases the stability of retroviral lipid membranes
